,name,qid,measure,value
40,TerrierRetr(BM25),test-environment-aiahwagit-pro02a,R@100,1.0
41,TerrierRetr(BM25),test-environment-aiahwagit-pro02a,RR@10,0.2
48,TerrierRetr(BM25),test-environment-aiahwagit-pro03a,R@10,1.0
49,TerrierRetr(BM25),test-environment-aiahwagit-pro03a,R@100,1.0
50,TerrierRetr(BM25),test-environment-aiahwagit-pro03a,RR@10,0.14285714285714285
51,TerrierRetr(BM25),test-environment-aiahwagit-pro04a,R@10,0.0
52,TerrierRetr(BM25),test-environment-aiahwagit-pro04a,R@100,1.0
53,TerrierRetr(BM25),test-environment-aiahwagit-pro04a,RR@10,0.0
42,TerrierRetr(BM25),test-environment-aiahwagit-pro05a,R@10,0.0
43,TerrierRetr(BM25),test-environment-aiahwagit-pro05a,R@100,1.0
44,TerrierRetr(BM25),test-environment-aiahwagit-pro05a,RR@10,0.0
36,TerrierRetr(BM25),test-environment-assgbatj-con01a,R@10,1.0
37,TerrierRetr(BM25),test-environment-assgbatj-con01a,R@100,1.0
38,TerrierRetr(BM25),test-environment-assgbatj-con01a,RR@10,0.2
24,TerrierRetr(BM25),test-environment-assgbatj-con02a,R@10,1.0
25,TerrierRetr(BM25),test-environment-assgbatj-con02a,R@100,1.0
26,TerrierRetr(BM25),test-environment-assgbatj-con02a,RR@10,0.1111111111111111
33,TerrierRetr(BM25),test-environment-assgbatj-con03a,R@10,1.0
34,TerrierRetr(BM25),test-environment-assgbatj-con03a,R@100,1.0
35,TerrierRetr(BM25),test-environment-assgbatj-con03a,RR@10,0.25
30,TerrierRetr(BM25),test-environment-assgbatj-con04a,R@10,1.0
31,TerrierRetr(BM25),test-environment-assgbatj-con04a,R@100,1.0
32,TerrierRetr(BM25),test-environment-assgbatj-con04a,RR@10,0.25
27,TerrierRetr(BM25),test-environment-assgbatj-con05a,R@10,0.0
28,TerrierRetr(BM25),test-environment-assgbatj-con05a,R@100,1.0
29,TerrierRetr(BM25),test-environment-assgbatj-con05a,RR@10,0.0
15,TerrierRetr(BM25),test-environment-assgbatj-pro01a,R@10,1.0
16,TerrierRetr(BM25),test-environment-assgbatj-pro01a,R@100,1.0
17,TerrierRetr(BM25),test-environment-assgbatj-pro01a,RR@10,0.25
9,TerrierRetr(BM25),test-environment-assgbatj-pro02a,R@10,1.0
10,TerrierRetr(BM25),test-environment-assgbatj-pro02a,R@100,1.0
11,TerrierRetr(BM25),test-environment-assgbatj-pro02a,RR@10,0.2
18,TerrierRetr(BM25),test-environment-assgbatj-pro03a,R@10,1.0
19,TerrierRetr(BM25),test-environment-assgbatj-pro03a,R@100,1.0
20,TerrierRetr(BM25),test-environment-assgbatj-pro03a,RR@10,0.3333333333333333
21,TerrierRetr(BM25),test-environment-assgbatj-pro04a,R@10,0.0
22,TerrierRetr(BM25),test-environment-assgbatj-pro04a,R@100,1.0
23,TerrierRetr(BM25),test-environment-assgbatj-pro04a,RR@10,0.0
12,TerrierRetr(BM25),test-environment-assgbatj-pro05a,R@10,0.0
13,TerrierRetr(BM25),test-environment-assgbatj-pro05a,R@100,1.0
14,TerrierRetr(BM25),test-environment-assgbatj-pro05a,RR@10,0.0
63,TerrierRetr(BM25),test-environment-chbwtlgcc-con02a,R@10,1.0
64,TerrierRetr(BM25),test-environment-chbwtlgcc-con02a,R@100,1.0
65,TerrierRetr(BM25),test-environment-chbwtlgcc-con02a,RR@10,0.3333333333333333
60,TerrierRetr(BM25),test-environment-chbwtlgcc-pro02a,R@10,1.0
61,TerrierRetr(BM25),test-environment-chbwtlgcc-pro02a,R@100,1.0
62,TerrierRetr(BM25),test-environment-chbwtlgcc-pro02a,RR@10,0.5
72,TerrierRetr(BM25),test-environment-opecewiahw-con02a,R@10,1.0
73,TerrierRetr(BM25),test-environment-opecewiahw-con02a,R@100,1.0
74,TerrierRetr(BM25),test-environment-opecewiahw-con02a,RR@10,0.16666666666666666
