,name,qid,measure,value
198,TerrierRetr(BM25),test-free-speech-debate-nshbcsbawc-con01a,R@10,1.0
199,TerrierRetr(BM25),test-free-speech-debate-nshbcsbawc-con01a,R@100,1.0
200,TerrierRetr(BM25),test-free-speech-debate-nshbcsbawc-con01a,RR@10,0.25
195,TerrierRetr(BM25),test-free-speech-debate-nshbcsbawc-con03a,R@10,0.0
196,TerrierRetr(BM25),test-free-speech-debate-nshbcsbawc-con03a,R@100,0.0
197,TerrierRetr(BM25),test-free-speech-debate-nshbcsbawc-con03a,RR@10,0.0
192,TerrierRetr(BM25),test-free-speech-debate-radhbsshr-con01a,R@10,1.0
193,TerrierRetr(BM25),test-free-speech-debate-radhbsshr-con01a,R@100,1.0
194,TerrierRetr(BM25),test-free-speech-debate-radhbsshr-con01a,RR@10,0.14285714285714285
186,TerrierRetr(BM25),test-free-speech-debate-radhbsshr-con02a,R@10,0.0
187,TerrierRetr(BM25),test-free-speech-debate-radhbsshr-con02a,R@100,0.0
188,TerrierRetr(BM25),test-free-speech-debate-radhbsshr-con02a,RR@10,0.0
189,TerrierRetr(BM25),test-free-speech-debate-radhbsshr-con03a,R@10,0.0
190,TerrierRetr(BM25),test-free-speech-debate-radhbsshr-con03a,R@100,0.0
191,TerrierRetr(BM25),test-free-speech-debate-radhbsshr-con03a,RR@10,0.0
177,TerrierRetr(BM25),test-free-speech-debate-yfsdfkhbwu-con03a,R@10,0.0
178,TerrierRetr(BM25),test-free-speech-debate-yfsdfkhbwu-con03a,R@100,0.0
179,TerrierRetr(BM25),test-free-speech-debate-yfsdfkhbwu-con03a,RR@10,0.0
174,TerrierRetr(BM25),test-free-speech-debate-yfsdfkhbwu-pro03a,R@10,1.0
175,TerrierRetr(BM25),test-free-speech-debate-yfsdfkhbwu-pro03a,R@100,1.0
176,TerrierRetr(BM25),test-free-speech-debate-yfsdfkhbwu-pro03a,RR@10,0.3333333333333333
81,TerrierRetr(BM25),test-health-dhghhbampt-con02a,R@10,0.0
82,TerrierRetr(BM25),test-health-dhghhbampt-con02a,R@100,1.0
83,TerrierRetr(BM25),test-health-dhghhbampt-con02a,RR@10,0.0
78,TerrierRetr(BM25),test-health-dhghhbampt-pro01a,R@10,0.0
79,TerrierRetr(BM25),test-health-dhghhbampt-pro01a,R@100,1.0
80,TerrierRetr(BM25),test-health-dhghhbampt-pro01a,RR@10,0.0
75,TerrierRetr(BM25),test-health-dhghhbampt-pro02a,R@10,1.0
76,TerrierRetr(BM25),test-health-dhghhbampt-pro02a,R@100,1.0
77,TerrierRetr(BM25),test-health-dhghhbampt-pro02a,RR@10,0.125
51,TerrierRetr(BM25),test-health-dhgsshbesbc-con02a,R@10,0.0
52,TerrierRetr(BM25),test-health-dhgsshbesbc-con02a,R@100,0.0
53,TerrierRetr(BM25),test-health-dhgsshbesbc-con02a,RR@10,0.0
48,TerrierRetr(BM25),test-health-dhgsshbesbc-pro01a,R@10,1.0
49,TerrierRetr(BM25),test-health-dhgsshbesbc-pro01a,R@100,1.0
50,TerrierRetr(BM25),test-health-dhgsshbesbc-pro01a,RR@10,0.25
54,TerrierRetr(BM25),test-health-dhiacihwph-pro01a,R@10,0.0
55,TerrierRetr(BM25),test-health-dhiacihwph-pro01a,R@100,1.0
56,TerrierRetr(BM25),test-health-dhiacihwph-pro01a,RR@10,0.0
96,TerrierRetr(BM25),test-health-dhpelhbass-con01a,R@10,1.0
